gene_id	transcript_id	biotype
ENSMUSG00000074340	ENSMUST00000000573	protein_coding
ENSMUSG00000000562	ENSMUST00000000574	protein_coding
ENSMUSG00000000567	ENSMUST00000000579	protein_coding
ENSMUSG00000032050	ENSMUST00000000590	protein_coding
ENSMUSG00000000581	ENSMUST00000000594	protein_coding
ENSMUSG00000000594	ENSMUST00000000608	protein_coding
ENSMUSG00000000605	ENSMUST00000000619	protein_coding
ENSMUSG00000000617	ENSMUST00000000631	protein_coding
ENSMUSG00000044807	ENSMUST00000000632	protein_coding
ENSMUSG00000000627	ENSMUST00000000641	protein_coding
ENSMUSG00000000628	ENSMUST00000000642	protein_coding
ENSMUSG00000000631	ENSMUST00000000645	protein_coding
ENSMUSG00000000632	ENSMUST00000000646	protein_coding
ENSMUSG00000029534	ENSMUST00000000674	protein_coding
ENSMUSG00000000673	ENSMUST00000000687	protein_coding
ENSMUSG00000000682	ENSMUST00000000696	protein_coding
ENSMUSG00000000690	ENSMUST00000000704	protein_coding
ENSMUSG00000000693	ENSMUST00000000707	protein_coding
ENSMUSG00000000701	ENSMUST00000000717	protein_coding
ENSMUSG00000079007	ENSMUST00000000718	protein_coding
ENSMUSG00000000708	ENSMUST00000000724	protein_coding
ENSMUSG00000000711	ENSMUST00000000727	protein_coding
ENSMUSG00000000730	ENSMUST00000000746	protein_coding
ENSMUSG00000000739	ENSMUST00000000755	protein_coding
ENSMUSG00000000740	ENSMUST00000000756	protein_coding
ENSMUSG00000000743	ENSMUST00000000759	protein_coding
ENSMUSG00000000751	ENSMUST00000000767	protein_coding
ENSMUSG00000000753	ENSMUST00000000769	protein_coding
ENSMUSG00000000759	ENSMUST00000000776	protein_coding
ENSMUSG00000000766	ENSMUST00000000783	protein_coding
ENSMUSG00000000776	ENSMUST00000000793	protein_coding
ENSMUSG00000000787	ENSMUST00000000804	protein_coding
ENSMUSG00000000791	ENSMUST00000000808	protein_coding
ENSMUSG00000000792	ENSMUST00000000809	protein_coding
ENSMUSG00000000794	ENSMUST00000000811	protein_coding
ENSMUSG00000000804	ENSMUST00000000821	nonsense_mediated_decay
ENSMUSG00000000811	ENSMUST00000000828	protein_coding
ENSMUSG00000000817	ENSMUST00000000834	protein_coding
ENSMUSG00000000827	ENSMUST00000000844	protein_coding
ENSMUSG00000000861	ENSMUST00000000881	protein_coding
ENSMUSG00000000869	ENSMUST00000000889	protein_coding
ENSMUSG00000027490	ENSMUST00000000894	protein_coding
ENSMUSG00000027489	ENSMUST00000000895	protein_coding
ENSMUSG00000000876	ENSMUST00000000896	protein_coding
ENSMUSG00000000881	ENSMUST00000000901	protein_coding
ENSMUSG00000000884	ENSMUST00000000904	nonsense_mediated_decay
ENSMUSG00000000889	ENSMUST00000000910	protein_coding
ENSMUSG00000000901	ENSMUST00000000924	protein_coding
ENSMUSG00000000902	ENSMUST00000000925	protein_coding
ENSMUSG00000000903	ENSMUST00000000926	protein_coding
ENSMUSG00000000915	ENSMUST00000000939	protein_coding
ENSMUSG00000000916	ENSMUST00000000940	protein_coding
ENSMUSG00000000934	ENSMUST00000000958	protein_coding
ENSMUSG00000029844	ENSMUST00000000964	protein_coding
ENSMUSG00000000958	ENSMUST00000000984	protein_coding
ENSMUSG00000000959	ENSMUST00000000985	protein_coding
ENSMUSG00000000976	ENSMUST00000001002	protein_coding
ENSMUSG00000000982	ENSMUST00000001008	protein_coding
ENSMUSG00000000983	ENSMUST00000001009	protein_coding
ENSMUSG00000063558	ENSMUST00000001027	protein_coding
ENSMUSG00000032175	ENSMUST00000001036	protein_coding
ENSMUSG00000001014	ENSMUST00000001040	protein_coding
ENSMUSG00000001016	ENSMUST00000001042	protein_coding
ENSMUSG00000001017	ENSMUST00000001043	protein_coding
ENSMUSG00000001020	ENSMUST00000001046	protein_coding
ENSMUSG00000001021	ENSMUST00000001047	protein_coding
ENSMUSG00000001023	ENSMUST00000001049	protein_coding
ENSMUSG00000001025	ENSMUST00000001051	protein_coding
ENSMUSG00000001029	ENSMUST00000001055	protein_coding
ENSMUSG00000020715	ENSMUST00000001059	protein_coding
ENSMUSG00000001036	ENSMUST00000001063	protein_coding
ENSMUSG00000001052	ENSMUST00000001079	protein_coding
ENSMUSG00000001053	ENSMUST00000001080	protein_coding
ENSMUSG00000001054	ENSMUST00000001081	protein_coding
ENSMUSG00000001056	ENSMUST00000001083	retained_intron
ENSMUSG00000001065	ENSMUST00000001092	protein_coding
ENSMUSG00000029106	ENSMUST00000001108	protein_coding
ENSMUSG00000001082	ENSMUST00000001109	protein_coding
ENSMUSG00000052783	ENSMUST00000001112	protein_coding
ENSMUSG00000074886	ENSMUST00000001115	protein_coding
ENSMUSG00000001089	ENSMUST00000001116	protein_coding
ENSMUSG00000001095	ENSMUST00000001122	protein_coding
ENSMUSG00000001098	ENSMUST00000001125	protein_coding
ENSMUSG00000020829	ENSMUST00000001126	protein_coding
ENSMUSG00000001100	ENSMUST00000001127	protein_coding
ENSMUSG00000001103	ENSMUST00000001130	protein_coding
ENSMUSG00000001119	ENSMUST00000001147	protein_coding
ENSMUSG00000001120	ENSMUST00000001148	protein_coding
ENSMUSG00000001127	ENSMUST00000001155	protein_coding
ENSMUSG00000001128	ENSMUST00000001156	protein_coding
ENSMUSG00000001134	ENSMUST00000001162	protein_coding_CDS_not_defined
ENSMUSG00000001138	ENSMUST00000001166	protein_coding
ENSMUSG00000001143	ENSMUST00000001171	nonsense_mediated_decay
ENSMUSG00000079610	ENSMUST00000001172	protein_coding
ENSMUSG00000001151	ENSMUST00000001179	protein_coding
ENSMUSG00000020241	ENSMUST00000001181	protein_coding
ENSMUSG00000001155	ENSMUST00000001183	protein_coding
ENSMUSG00000001156	ENSMUST00000001184	protein_coding
ENSMUSG00000001157	ENSMUST00000001185	protein_coding
ENSMUSG00000001158	ENSMUST00000001186	protein_coding
ENSMUSG00000029994	ENSMUST00000001187	protein_coding
ENSMUSG00000001173	ENSMUST00000001202	protein_coding
ENSMUSG00000001175	ENSMUST00000001204	protein_coding
ENSMUSG00000022436	ENSMUST00000001226	protein_coding
ENSMUSG00000001211	ENSMUST00000001240	protein_coding
ENSMUSG00000053329	ENSMUST00000001242	protein_coding
ENSMUSG00000029130	ENSMUST00000001247	protein_coding
ENSMUSG00000020651	ENSMUST00000001253	protein_coding
ENSMUSG00000001225	ENSMUST00000001254	protein_coding
ENSMUSG00000001227	ENSMUST00000001256	protein_coding
ENSMUSG00000001228	ENSMUST00000001258	protein_coding
ENSMUSG00000001247	ENSMUST00000001279	protein_coding
ENSMUSG00000001248	ENSMUST00000001280	protein_coding
ENSMUSG00000026641	ENSMUST00000001284	nonsense_mediated_decay
ENSMUSG00000001270	ENSMUST00000001304	protein_coding
ENSMUSG00000001300	ENSMUST00000001319	protein_coding
ENSMUSG00000001280	ENSMUST00000001326	protein_coding
ENSMUSG00000001281	ENSMUST00000001327	protein_coding
ENSMUSG00000001285	ENSMUST00000001331	protein_coding
ENSMUSG00000001289	ENSMUST00000001335	nonsense_mediated_decay
ENSMUSG00000001305	ENSMUST00000001339	protein_coding
ENSMUSG00000001313	ENSMUST00000001347	protein_coding
ENSMUSG00000001349	ENSMUST00000001384	protein_coding
ENSMUSG00000001366	ENSMUST00000001402	protein_coding
ENSMUSG00000001376	ENSMUST00000001412	protein_coding
ENSMUSG00000117679	ENSMUST00000001415	protein_coding
ENSMUSG00000001380	ENSMUST00000001416	protein_coding
ENSMUSG00000001383	ENSMUST00000001419	protein_coding
ENSMUSG00000001403	ENSMUST00000001439	protein_coding
ENSMUSG00000001415	ENSMUST00000001451	protein_coding
ENSMUSG00000001416	ENSMUST00000001452	protein_coding
ENSMUSG00000001418	ENSMUST00000001454	protein_coding
ENSMUSG00000001419	ENSMUST00000001455	protein_coding
ENSMUSG00000001420	ENSMUST00000001456	protein_coding
ENSMUSG00000001424	ENSMUST00000001460	protein_coding
ENSMUSG00000001440	ENSMUST00000001479	protein_coding
ENSMUSG00000001441	ENSMUST00000001480	protein_coding
ENSMUSG00000001444	ENSMUST00000001484	protein_coding
ENSMUSG00000001445	ENSMUST00000001485	protein_coding
ENSMUSG00000022219	ENSMUST00000001497	protein_coding
ENSMUSG00000001467	ENSMUST00000001507	protein_coding
ENSMUSG00000001473	ENSMUST00000001513	protein_coding
ENSMUSG00000031967	ENSMUST00000001520	protein_coding
ENSMUSG00000001482	ENSMUST00000001522	protein_coding
ENSMUSG00000001494	ENSMUST00000001534	protein_coding
ENSMUSG00000001496	ENSMUST00000001536	protein_coding
ENSMUSG00000001497	ENSMUST00000001538	protein_coding
ENSMUSG00000023186	ENSMUST00000001544	protein_coding
ENSMUSG00000001506	ENSMUST00000001547	protein_coding
ENSMUSG00000001507	ENSMUST00000001548	protein_coding
ENSMUSG00000001518	ENSMUST00000001559	protein_coding
ENSMUSG00000001520	ENSMUST00000001561	protein_coding
ENSMUSG00000001521	ENSMUST00000001562	protein_coding
ENSMUSG00000001524	ENSMUST00000001565	protein_coding
ENSMUSG00000001525	ENSMUST00000001566	protein_coding
ENSMUSG00000059714	ENSMUST00000001569	protein_coding
ENSMUSG00000001542	ENSMUST00000001583	protein_coding
ENSMUSG00000001552	ENSMUST00000001592	protein_coding
ENSMUSG00000001555	ENSMUST00000001595	protein_coding
ENSMUSG00000001558	ENSMUST00000001599	protein_coding
ENSMUSG00000001566	ENSMUST00000001608	protein_coding
ENSMUSG00000001569	ENSMUST00000001611	protein_coding
ENSMUSG00000001576	ENSMUST00000001619	protein_coding
ENSMUSG00000027680	ENSMUST00000001620	protein_coding
ENSMUSG00000001583	ENSMUST00000001626	protein_coding
ENSMUSG00000001588	ENSMUST00000001631	protein_coding
ENSMUSG00000021070	ENSMUST00000001652	protein_coding
ENSMUSG00000001622	ENSMUST00000001667	protein_coding
ENSMUSG00000001627	ENSMUST00000001672	protein_coding
ENSMUSG00000001630	ENSMUST00000001675	protein_coding
ENSMUSG00000022484	ENSMUST00000001699	protein_coding
ENSMUSG00000001655	ENSMUST00000001700	protein_coding
ENSMUSG00000001656	ENSMUST00000001701	protein_coding
ENSMUSG00000001657	ENSMUST00000001703	protein_coding
ENSMUSG00000036139	ENSMUST00000001706	protein_coding
ENSMUSG00000022485	ENSMUST00000001709	protein_coding
ENSMUSG00000001661	ENSMUST00000001711	protein_coding
ENSMUSG00000020196	ENSMUST00000001712	protein_coding
ENSMUSG00000001663	ENSMUST00000001713	protein_coding
ENSMUSG00000001665	ENSMUST00000001715	protein_coding
ENSMUSG00000001666	ENSMUST00000001716	protein_coding
ENSMUSG00000001670	ENSMUST00000001720	protein_coding
ENSMUSG00000001672	ENSMUST00000001722	protein_coding
ENSMUSG00000001674	ENSMUST00000001724	protein_coding
ENSMUSG00000001707	ENSMUST00000001757	protein_coding
ENSMUSG00000001729	ENSMUST00000001780	protein_coding
ENSMUSG00000001739	ENSMUST00000001790	protein_coding
ENSMUSG00000001741	ENSMUST00000001792	protein_coding
ENSMUSG00000001750	ENSMUST00000001801	protein_coding
ENSMUSG00000001751	ENSMUST00000001802	protein_coding
ENSMUSG00000001755	ENSMUST00000001806	protein_coding
ENSMUSG00000022283	ENSMUST00000001809	protein_coding
ENSMUSG00000001761	ENSMUST00000001812	protein_coding
ENSMUSG00000001767	ENSMUST00000001818	protein_coding
ENSMUSG00000001773	ENSMUST00000001824	protein_coding
ENSMUSG00000001774	ENSMUST00000001825	protein_coding
ENSMUSG00000043943	ENSMUST00000001826	protein_coding
ENSMUSG00000001783	ENSMUST00000001834	protein_coding
ENSMUSG00000001785	ENSMUST00000001836	protein_coding
ENSMUSG00000001786	ENSMUST00000001837	nonsense_mediated_decay
ENSMUSG00000001794	ENSMUST00000001845	protein_coding
ENSMUSG00000030495	ENSMUST00000001854	protein_coding
ENSMUSG00000001815	ENSMUST00000001867	protein_coding
ENSMUSG00000001819	ENSMUST00000001872	protein_coding
ENSMUSG00000001823	ENSMUST00000001878	protein_coding
ENSMUSG00000001829	ENSMUST00000001884	protein_coding
ENSMUSG00000001844	ENSMUST00000001900	protein_coding
ENSMUSG00000001864	ENSMUST00000001920	protein_coding
ENSMUSG00000001865	ENSMUST00000001921	protein_coding
ENSMUSG00000001870	ENSMUST00000001927	protein_coding
ENSMUSG00000025139	ENSMUST00000001950	protein_coding
ENSMUSG00000020681	ENSMUST00000001963	protein_coding
ENSMUSG00000020681	ENSMUST00000001964	protein_coding
ENSMUSG00000001901	ENSMUST00000001965	protein_coding
ENSMUSG00000001909	ENSMUST00000001974	protein_coding
ENSMUSG00000001910	ENSMUST00000001975	protein_coding
ENSMUSG00000007209	ENSMUST00000001984	protein_coding
ENSMUSG00000001924	ENSMUST00000001989	protein_coding
ENSMUSG00000001942	ENSMUST00000002007	protein_coding
ENSMUSG00000001943	ENSMUST00000002008	protein_coding
ENSMUSG00000001946	ENSMUST00000002011	protein_coding
ENSMUSG00000001948	ENSMUST00000002013	protein_coding
ENSMUSG00000025519	ENSMUST00000002025	protein_coding
ENSMUSG00000001964	ENSMUST00000002029	protein_coding
ENSMUSG00000078622	ENSMUST00000002043	protein_coding
ENSMUSG00000020700	ENSMUST00000002044	protein_coding
ENSMUSG00000001983	ENSMUST00000002048	protein_coding
ENSMUSG00000001988	ENSMUST00000002053	protein_coding
ENSMUSG00000001998	ENSMUST00000002063	protein_coding
ENSMUSG00000001999	ENSMUST00000002064	protein_coding
ENSMUSG00000002020	ENSMUST00000002073	protein_coding
ENSMUSG00000031385	ENSMUST00000002079	protein_coding
ENSMUSG00000002006	ENSMUST00000002080	protein_coding
ENSMUSG00000002007	ENSMUST00000002081	protein_coding
ENSMUSG00000031378	ENSMUST00000002084	protein_coding
ENSMUSG00000002012	ENSMUST00000002087	protein_coding
ENSMUSG00000002014	ENSMUST00000002090	protein_coding
ENSMUSG00000002015	ENSMUST00000002091	protein_coding
ENSMUSG00000002028	ENSMUST00000002095	protein_coding
ENSMUSG00000002031	ENSMUST00000002099	protein_coding
ENSMUSG00000002032	ENSMUST00000002100	protein_coding
ENSMUSG00000002033	ENSMUST00000002101	protein_coding
ENSMUSG00000002043	ENSMUST00000002112	protein_coding
ENSMUSG00000002052	ENSMUST00000002121	protein_coding
ENSMUSG00000002058	ENSMUST00000002127	protein_coding
ENSMUSG00000002059	ENSMUST00000002128	protein_coding
ENSMUSG00000002064	ENSMUST00000002133	protein_coding
ENSMUSG00000002076	ENSMUST00000002145	protein_coding
ENSMUSG00000002083	ENSMUST00000002152	protein_coding
ENSMUSG00000002102	ENSMUST00000002171	protein_coding
ENSMUSG00000002103	ENSMUST00000002172	protein_coding
ENSMUSG00000002107	ENSMUST00000002176	protein_coding
ENSMUSG00000002108	ENSMUST00000002177	protein_coding
ENSMUSG00000002111	ENSMUST00000002180	protein_coding
ENSMUSG00000002129	ENSMUST00000002198	protein_coding
ENSMUSG00000002190	ENSMUST00000002259	protein_coding
ENSMUSG00000002204	ENSMUST00000002274	protein_coding
ENSMUSG00000002205	ENSMUST00000002275	protein_coding
ENSMUSG00000002210	ENSMUST00000002280	protein_coding
ENSMUSG00000046223	ENSMUST00000002284	protein_coding
ENSMUSG00000022111	ENSMUST00000002289	protein_coding
ENSMUSG00000002221	ENSMUST00000002291	protein_coding
ENSMUSG00000002222	ENSMUST00000002292	protein_coding
ENSMUSG00000002227	ENSMUST00000002297	protein_coding
ENSMUSG00000002228	ENSMUST00000002298	protein_coding
ENSMUSG00000002233	ENSMUST00000002303	protein_coding
ENSMUSG00000042599	ENSMUST00000002305	protein_coding
ENSMUSG00000002240	ENSMUST00000002310	protein_coding
ENSMUSG00000024220	ENSMUST00000002318	protein_coding
ENSMUSG00000002250	ENSMUST00000002320	protein_coding
ENSMUSG00000002257	ENSMUST00000002327	protein_coding
ENSMUSG00000002266	ENSMUST00000002336	protein_coding
ENSMUSG00000002274	ENSMUST00000002344	protein_coding
ENSMUSG00000002280	ENSMUST00000002350	protein_coding
ENSMUSG00000002289	ENSMUST00000002360	protein_coding
ENSMUSG00000002297	ENSMUST00000002368	protein_coding
ENSMUSG00000002308	ENSMUST00000002379	protein_coding
ENSMUSG00000022218	ENSMUST00000002389	protein_coding
ENSMUSG00000002320	ENSMUST00000002391	protein_coding
ENSMUSG00000002324	ENSMUST00000002395	protein_coding
ENSMUSG00000002326	ENSMUST00000002397	protein_coding
ENSMUSG00000022220	ENSMUST00000002398	protein_coding
ENSMUSG00000002329	ENSMUST00000002400	protein_coding
ENSMUSG00000002332	ENSMUST00000002403	protein_coding
ENSMUSG00000002341	ENSMUST00000002412	protein_coding
ENSMUSG00000002342	ENSMUST00000002413	protein_coding
ENSMUSG00000002345	ENSMUST00000002418	protein_coding
ENSMUSG00000002365	ENSMUST00000002436	protein_coding
ENSMUSG00000024206	ENSMUST00000002444	protein_coding
ENSMUSG00000002372	ENSMUST00000002445	protein_coding
ENSMUSG00000002379	ENSMUST00000002452	protein_coding
ENSMUSG00000020622	ENSMUST00000002456	protein_coding
ENSMUSG00000002384	ENSMUST00000002457	protein_coding
ENSMUSG00000002393	ENSMUST00000002466	protein_coding
ENSMUSG00000002396	ENSMUST00000002469	protein_coding
ENSMUSG00000031820	ENSMUST00000002473	protein_coding
ENSMUSG00000002413	ENSMUST00000002487	protein_coding
ENSMUSG00000002416	ENSMUST00000002490	protein_coding_CDS_not_defined
ENSMUSG00000041420	ENSMUST00000002495	protein_coding
ENSMUSG00000002428	ENSMUST00000002502	protein_coding
ENSMUSG00000054452	ENSMUST00000002518	protein_coding
ENSMUSG00000002455	ENSMUST00000002529	protein_coding
ENSMUSG00000002458	ENSMUST00000002532	protein_coding
ENSMUSG00000002459	ENSMUST00000002533	protein_coding
ENSMUSG00000002475	ENSMUST00000002549	protein_coding
ENSMUSG00000002477	ENSMUST00000002551	protein_coding
ENSMUSG00000002504	ENSMUST00000002572	protein_coding
ENSMUSG00000002489	ENSMUST00000002588	protein_coding
ENSMUSG00000002524	ENSMUST00000002599	protein_coding
ENSMUSG00000022568	ENSMUST00000002603	protein_coding
ENSMUSG00000002550	ENSMUST00000002625	protein_coding
ENSMUSG00000002565	ENSMUST00000002640	protein_coding
ENSMUSG00000002580	ENSMUST00000002655	protein_coding
ENSMUSG00000002588	ENSMUST00000002663	protein_coding
ENSMUSG00000002602	ENSMUST00000002677	protein_coding
ENSMUSG00000002603	ENSMUST00000002678	protein_coding
ENSMUSG00000002608	ENSMUST00000002683	protein_coding
ENSMUSG00000024045	ENSMUST00000002699	protein_coding
ENSMUSG00000002633	ENSMUST00000002708	protein_coding
ENSMUSG00000002635	ENSMUST00000002710	protein_coding
ENSMUSG00000002658	ENSMUST00000002733	protein_coding
ENSMUSG00000002660	ENSMUST00000002735	protein_coding
ENSMUSG00000002661	ENSMUST00000002737	protein_coding
ENSMUSG00000002664	ENSMUST00000002740	protein_coding
ENSMUSG00000002679	ENSMUST00000002756	protein_coding
ENSMUSG00000091803	ENSMUST00000002757	protein_coding
ENSMUSG00000002688	ENSMUST00000002765	protein_coding
ENSMUSG00000002718	ENSMUST00000002790	protein_coding
ENSMUSG00000002728	ENSMUST00000002805	protein_coding
ENSMUSG00000002731	ENSMUST00000002808	protein_coding
ENSMUSG00000002732	ENSMUST00000002809	protein_coding
ENSMUSG00000057897	ENSMUST00000002817	protein_coding
ENSMUSG00000002741	ENSMUST00000002818	protein_coding
ENSMUSG00000002748	ENSMUST00000002825	protein_coding
ENSMUSG00000063406	ENSMUST00000002837	protein_coding
ENSMUSG00000059409	ENSMUST00000002839	protein_coding
ENSMUSG00000002763	ENSMUST00000002840	protein_coding
ENSMUSG00000002767	ENSMUST00000002844	protein_coding
ENSMUSG00000002768	ENSMUST00000002845	protein_coding
ENSMUSG00000002769	ENSMUST00000002846	protein_coding
ENSMUSG00000002771	ENSMUST00000002848	protein_coding
ENSMUSG00000030834	ENSMUST00000002850	protein_coding
ENSMUSG00000002778	ENSMUST00000002855	protein_coding
ENSMUSG00000002797	ENSMUST00000002874	protein_coding_CDS_not_defined
ENSMUSG00000002803	ENSMUST00000002880	protein_coding
ENSMUSG00000002804	ENSMUST00000002881	protein_coding
ENSMUSG00000021319	ENSMUST00000002883	protein_coding
ENSMUSG00000002808	ENSMUST00000002885	protein_coding
ENSMUSG00000002812	ENSMUST00000002889	protein_coding
ENSMUSG00000002814	ENSMUST00000002891	protein_coding
ENSMUSG00000002825	ENSMUST00000002902	protein_coding
ENSMUSG00000002831	ENSMUST00000002908	protein_coding
ENSMUSG00000002833	ENSMUST00000002911	protein_coding
ENSMUSG00000002835	ENSMUST00000002914	protein_coding
ENSMUSG00000002844	ENSMUST00000002923	protein_coding
ENSMUSG00000002845	ENSMUST00000002924	protein_coding
ENSMUSG00000002846	ENSMUST00000002925	protein_coding
ENSMUSG00000002847	ENSMUST00000002926	protein_coding
ENSMUSG00000002885	ENSMUST00000002964	protein_coding
ENSMUSG00000002897	ENSMUST00000002976	protein_coding
ENSMUSG00000002900	ENSMUST00000002979	protein_coding
ENSMUSG00000002910	ENSMUST00000002989	protein_coding
ENSMUSG00000029925	ENSMUST00000003017	protein_coding
ENSMUSG00000002948	ENSMUST00000003027	protein_coding
ENSMUSG00000002949	ENSMUST00000003029	protein_coding
ENSMUSG00000030768	ENSMUST00000003035	protein_coding
ENSMUSG00000002957	ENSMUST00000003038	protein_coding
ENSMUSG00000002963	ENSMUST00000003044	protein_coding
ENSMUSG00000002968	ENSMUST00000003049	protein_coding
ENSMUSG00000002980	ENSMUST00000003061	protein_coding
ENSMUSG00000002985	ENSMUST00000003066	protein_coding
ENSMUSG00000074336	ENSMUST00000003071	protein_coding
ENSMUSG00000002992	ENSMUST00000003074	protein_coding
ENSMUSG00000002997	ENSMUST00000003079	protein_coding
ENSMUSG00000052974	ENSMUST00000003100	protein_coding
ENSMUSG00000003031	ENSMUST00000003115	protein_coding
ENSMUSG00000003033	ENSMUST00000003117	protein_coding
ENSMUSG00000003037	ENSMUST00000003121	protein_coding
ENSMUSG00000003039	ENSMUST00000003123	protein_coding
ENSMUSG00000003051	ENSMUST00000003135	protein_coding
ENSMUSG00000003053	ENSMUST00000003137	protein_coding
ENSMUSG00000003068	ENSMUST00000003152	protein_coding
ENSMUSG00000003070	ENSMUST00000003154	protein_coding
ENSMUSG00000003072	ENSMUST00000003156	protein_coding
ENSMUSG00000003099	ENSMUST00000003183	protein_coding
ENSMUSG00000024070	ENSMUST00000003191	protein_coding
ENSMUSG00000003119	ENSMUST00000003203	protein_coding
ENSMUSG00000003123	ENSMUST00000003207	protein_coding
ENSMUSG00000003135	ENSMUST00000003219	protein_coding
ENSMUSG00000003154	ENSMUST00000003238	protein_coding
ENSMUSG00000003161	ENSMUST00000003245	retained_intron
ENSMUSG00000003200	ENSMUST00000003268	protein_coding
ENSMUSG00000003206	ENSMUST00000003274	protein_coding
ENSMUSG00000003184	ENSMUST00000003284	protein_coding
